Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-January-2023,86.90,86.90,83.00,84.45,83.871005917159763313,8450,97,708710.00,6414,75.91,3.90,-2.45
30-January-2023,87.90,87.90,81.15,82.10,83.276564632481965295,10258,120,854251.00,8236,80.29,6.75,-5.80
27-January-2023,90.00,90.00,83.10,83.70,84.313682718001854174,18337,173,1546060.00,13558,73.94,6.90,-6.30
25-January-2023,90.00,94.00,85.50,86.25,87.153268292682926829,10250,150,893321.00,7237,70.60,8.50,-3.75
24-January-2023,90.00,90.00,86.80,87.50,87.569816789152261670,9661,110,846012.00,7757,80.29,3.20,-2.50
23-January-2023,90.30,90.80,86.50,88.65,88.589433205149640528,29905,309,2649267.00,13851,46.32,4.30,-1.65
20-January-2023,85.00,95.00,82.60,90.50,88.401484929078014184,90240,645,7977350.00,40318,44.68,12.40,5.50
19-January-2023,85.40,85.40,82.00,84.75,83.417945906432748538,10944,119,912926.00,5943,54.30,3.40,-0.65
18-January-2023,85.70,85.70,82.50,83.15,83.772533041836430487,10063,159,843003.00,4816,47.86,3.20,-2.55
17-January-2023,81.55,86.40,81.55,84.00,83.994851994851994851,21756,159,1827392.00,9271,42.61,4.85,2.45
16-January-2023,85.75,85.75,82.50,83.30,83.881671538378261340,9237,132,774815.00,6349,68.73,3.25,-2.45
13-January-2023,84.05,86.00,83.30,83.65,84.122963624191028788,4481,95,376955.00,3750,83.69,2.70,-0.40
12-January-2023,85.90,85.90,84.30,84.50,84.882740930743862220,2729,55,231645.00,2265,83.00,1.60,-1.40
11-January-2023,84.05,86.30,84.00,84.65,84.628839844915001491,6706,87,567521.00,3295,49.14,2.30,0.60
10-January-2023,86.75,86.75,83.70,84.95,84.763888888888888888,6624,86,561476.00,4358,65.79,3.05,-1.80
9-January-2023,84.50,87.50,83.00,85.00,85.758759333716255025,15669,144,1343754.00,12253,78.20,4.50,0.50
6-January-2023,87.90,87.90,84.50,85.75,85.309453971119133574,17728,95,1512366.00,15484,87.34,3.40,-2.15
5-January-2023,85.00,87.60,85.00,86.60,86.140547015372329806,10018,102,862956.00,5332,53.22,2.60,1.60
4-January-2023,88.45,88.45,85.20,86.10,85.906185730105995886,18963,118,1629039.00,15718,82.89,3.25,-2.35
3-January-2023,85.10,87.80,85.10,86.80,86.632913546630360789,29380,180,2545275.00,14105,48.01,2.70,1.70
2-January-2023,86.50,87.00,84.25,85.40,85.706053991958644457,43525,151,3730356.00,28637,65.79,2.75,-1.10
